RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost
355,1,1035,1162,592;
356,1,1035,1010,532;
357,1,1035,1282,640;
358,1,1035,1234,621;
359,1,1035,1492,765;
360,1,1035,1369,690;
361,1,1035,5263,4228;
362,1,1035,14285,13250;
363,1,1035,3448,2422;
364,1,1035,4000,2966;
365,1,1035,33333,32298;
366,1,1035,2222,1321;
367,1,1035,1492,766;
368,1,1035,1449,739;
369,1,1035,25000,23965;
370,1,1035,1351,674;
371,1,1035,2941,1957;
372,1,1035,1818,999;
373,1,1035,2439,1505;
374,1,1035,1098,561;
375,1,1035,1265,628;
376,1,1035,1562,798;
377,1,1035,8333,7298;
378,1,1035,1369,689;
379,1,1035,1123,570;
380,1,1035,2083,1204;
381,1,1035,2564,1620;
382,1,1035,3225,2220;
383,1,1035,1204,607;
384,1,1035,1265,638;
385,1,1035,25000,23965;
386,1,1035,1282,641;
387,1,1035,3125,2128;
388,1,1035,1162,585;
389,1,1035,1052,554;
390,1,1035,2040,1164;
391,1,1035,2325,1402;
392,1,1035,1098,563;
393,1,1035,1923,1077;
394,1,1035,3030,2033;
395,1,1035,1000,536;
396,1,1035,1724,925;
397,1,1035,1960,1097;
398,1,1035,20000,18965;
399,1,1035,5263,4228;
task took 47.980000 seconds
