RANDOM SEQUENCES
n,lengthS,lengthT,MinCost
67,1035,12500,11465;
68,1035,1123,575;
69,1035,1000,544;
70,1035,2702,1735;
71,1035,2222,1322;
72,1035,10000,8965;
73,1035,1190,595;
74,1035,3125,2120;
75,1035,2173,1273;
76,1035,4761,3726;
77,1035,1562,800;
78,1035,1351,662;
79,1035,1960,1110;
80,1035,3225,2219;
81,1035,20000,18965;
82,1035,5263,4228;
83,1035,1369,673;
84,1035,1754,939;
85,1035,1000,528;
86,1035,11111,10076;
87,1035,1408,718;
88,1035,1818,1001;
89,1035,2439,1502;
90,1035,3333,2316;
91,1035,1265,625;
92,1035,1351,681;
93,1035,1428,722;
94,1035,1020,545;
95,1035,100000,98965;
96,1035,1351,679;
97,1035,3571,2546;
98,1035,1075,561;
99,1035,1098,558;
100,1035,1282,644;
101,1035,1388,701;
102,1035,2222,1318;
103,1035,5882,4847;
104,1035,1538,794;
105,1035,1282,635;
106,1035,1470,748;
107,1035,14285,13250;
108,1035,7692,6657;
109,1035,1075,561;
110,1035,1086,554;
111,1035,3571,2547;
112,1035,1234,610;
113,1035,10000,8965;
114,1035,1149,583;
115,1035,2272,1360;
116,1035,16666,15631;
117,1035,5000,3965;
118,1035,1123,572;
119,1035,2173,1273;
120,1035,1818,991;
121,1035,3448,2428;
122,1035,1666,875;
123,1035,7692,6657;
124,1035,1369,689;
125,1035,4000,2968;
126,1035,7692,6657;
127,1035,4166,3132;
128,1035,1408,709;
129,1035,2380,1452;
130,1035,7692,6657;
131,1035,1960,1105;
132,1035,1250,623;
133,1035,1219,614;
134,1035,50000,48965;
135,1035,1315,654;
136,1035,5882,4847;
137,1035,1960,1110;
138,1035,6250,5215;
139,1035,2777,1802;
140,1035,2040,1173;
141,1035,4761,3726;
142,1035,1428,730;
143,1035,1408,707;
144,1035,1408,715;
145,1035,4347,3312;
146,1035,1063,547;
147,1035,1162,590;
148,1035,5882,4847;
149,1035,2380,1450;
150,1035,1492,760;
151,1035,2272,1362;
152,1035,4545,3510;
153,1035,25000,23965;
154,1035,1428,730;
155,1035,2222,1302;
156,1035,2000,1140;
157,1035,1923,1082;
158,1035,1030,536;
159,1035,11111,10076;
160,1035,1428,724;
161,1035,1724,928;
162,1035,1075,560;
163,1035,3703,2678;
164,1035,1754,947;
165,1035,2222,1312;
166,1035,2272,1363;
167,1035,1315,661;
168,1035,1086,555;
169,1035,12500,11465;
170,1035,1886,1048;
171,1035,1515,777;
172,1035,1562,815;
173,1035,1639,856;
174,1035,1086,560;
175,1035,6250,5215;
176,1035,1562,801;
177,1035,1204,604;
178,1035,1587,826;
179,1035,2127,1238;
180,1035,3448,2428;
181,1035,2083,1201;
182,1035,2500,1552;
183,1035,1724,928;
184,1035,1388,703;
185,1035,5263,4228;
186,1035,2857,1880;
187,1035,4545,3510;
188,1035,5000,3965;
189,1035,10000,8965;
190,1035,4166,3131;
191,1035,1587,835;
192,1035,1111,570;
193,1035,1851,1011;
194,1035,1098,558;
195,1035,7692,6657;
196,1035,1086,563;
197,1035,5882,4847;
198,1035,6250,5215;
199,1035,1886,1050;
200,1035,1041,534;
201,1035,1694,904;
202,1035,12500,11465;
203,1035,9090,8055;
204,1035,1298,645;
205,1035,1075,543;
206,1035,11111,10076;
207,1035,11111,10076;
208,1035,4545,3510;
209,1035,1098,559;
210,1035,2941,1959;
211,1035,2272,1362;
212,1035,1250,631;
213,1035,12500,11465;
214,1035,1333,675;
215,1035,100000,98965;
216,1035,1204,596;
217,1035,1612,850;
218,1035,2127,1240;
219,1035,4761,3726;
220,1035,11111,10076;
221,1035,1176,594;
222,1035,4347,3312;
223,1035,1298,648;
224,1035,33333,32298;
225,1035,2439,1516;
226,1035,1587,828;
227,1035,2500,1555;
228,1035,3225,2218;
229,1035,4166,3131;
230,1035,1098,573;
231,1035,1020,529;
232,1035,1190,596;
233,1035,1333,668;
234,1035,1923,1074;
235,1035,1694,910;
236,1035,2173,1271;
237,1035,1369,686;
238,1035,1204,600;
239,1035,1052,540;
240,1035,5000,3965;
241,1035,1204,600;
242,1035,2857,1871;
243,1035,20000,18965;
244,1035,1234,619;
245,1035,3703,2673;
246,1035,1639,856;
247,1035,2000,1129;
248,1035,5000,3965;
249,1035,8333,7298;
250,1035,1492,756;
251,1035,4166,3131;
252,1035,9090,8055;
253,1035,1388,698;
254,1035,1851,1023;
255,1035,33333,32298;
256,1035,1333,673;
257,1035,1075,559;
258,1035,1449,738;
259,1035,1639,864;
260,1035,1234,627;
261,1035,1123,566;
262,1035,2702,1733;
263,1035,3448,2432;
264,1035,1886,1045;
265,1035,1694,895;
266,1035,1639,864;
267,1035,10000,8965;
268,1035,3333,2322;
269,1035,1562,802;
270,1035,2380,1441;
271,1035,7692,6657;
272,1035,1010,536;
273,1035,11111,10076;
274,1035,25000,23965;
275,1035,2040,1166;
276,1035,1886,1044;
277,1035,7142,6107;
278,1035,4545,3510;
279,1035,1000,536;
280,1035,25000,23965;
281,1035,1388,702;
282,1035,1612,849;
283,1035,2173,1277;
284,1035,50000,48965;
285,1035,1515,768;
286,1035,1111,572;
287,1035,6666,5631;
288,1035,4166,3132;
289,1035,2000,1131;
290,1035,1010,540;
291,1035,25000,23965;
292,1035,1010,553;
293,1035,1923,1076;
294,1035,1612,841;
295,1035,2500,1555;
296,1035,2941,1958;
297,1035,9090,8055;
298,1035,10000,8965;
299,1035,1123,567;
300,1035,1063,554;
301,1035,1111,568;
302,1035,2222,1319;
303,1035,5263,4228;
304,1035,1075,560;
305,1035,11111,10076;
306,1035,2500,1554;
307,1035,1086,553;
308,1035,1587,833;
309,1035,1234,625;
310,1035,5263,4228;
311,1035,1282,646;
312,1035,1265,631;
313,1035,1851,1021;
314,1035,100000,98965;
315,1035,3125,2124;
316,1035,6666,5631;
317,1035,33333,32298;
318,1035,1538,787;
319,1035,50000,48965;
320,1035,3333,2325;
321,1035,100000,98965;
322,1035,1030,543;
323,1035,2564,1614;
324,1035,5555,4520;
325,1035,1388,697;
326,1035,1388,696;
327,1035,1111,565;
328,1035,1851,1023;
329,1035,4545,3510;
330,1035,1470,745;
331,1035,100000,98965;
332,1035,6666,5631;
333,1035,3030,2037;
334,1035,1515,784;
335,1035,100000,98965;
336,1035,20000,18965;
337,1035,1785,966;
338,1035,1428,717;
339,1035,2631,1680;
340,1035,2222,1319;
341,1035,20000,18965;
342,1035,2857,1873;
343,1035,1369,681;
344,1035,1818,1006;
345,1035,4761,3726;
346,1035,1449,738;
347,1035,3448,2431;
348,1035,1086,561;
349,1035,3571,2547;
350,1035,1162,589;
351,1035,1136,571;
352,1035,11111,10076;
353,1035,2325,1406;
354,1035,3448,2430;
355,1035,1041,548;
356,1035,8333,7298;
357,1035,9090,8055;
358,1035,3448,2433;
359,1035,25000,23965;
360,1035,1666,884;
361,1035,1492,772;
362,1035,1250,626;
363,1035,2380,1457;
364,1035,2702,1736;
365,1035,14285,13250;
366,1035,1923,1084;
367,1035,4000,2968;
368,1035,1492,768;
369,1035,1818,992;
370,1035,1219,610;
371,1035,4166,3131;
372,1035,33333,32298;
373,1035,2500,1560;
374,1035,1265,641;
375,1035,5882,4847;
376,1035,16666,15631;
377,1035,1639,858;
378,1035,2272,1364;
379,1035,12500,11465;
380,1035,1639,866;
381,1035,1162,578;
382,1035,5000,3965;
383,1035,1219,619;
384,1035,8333,7298;
385,1035,1136,587;
386,1035,25000,23965;
387,1035,1111,561;
388,1035,1351,671;
389,1035,6250,5215;
390,1035,2380,1441;
391,1035,1030,549;
392,1035,1428,722;
393,1035,1388,693;
394,1035,1190,605;
395,1035,10000,8965;
396,1035,1020,532;
397,1035,1428,732;
398,1035,3703,2676;
399,1035,9090,8055;
400,1035,1111,565;
401,1035,1351,681;
402,1035,1075,557;
403,1035,6666,5631;
404,1035,1538,793;
405,1035,5263,4228;
406,1035,100000,98965;
407,1035,1369,675;
408,1035,2631,1667;
409,1035,1785,962;
410,1035,7692,6657;
411,1035,5000,3965;
412,1035,1136,577;
413,1035,6250,5215;
414,1035,1492,770;
415,1035,2777,1800;
416,1035,2222,1333;
417,1035,16666,15631;
418,1035,1492,758;
419,1035,50000,48965;
420,1035,3125,2119;
421,1035,3571,2551;
422,1035,2500,1563;
423,1035,3333,2324;
424,1035,1666,880;
425,1035,2380,1459;
426,1035,1408,707;
427,1035,4761,3726;
428,1035,1886,1036;
429,1035,1587,826;
430,1035,1086,552;
431,1035,7692,6657;
432,1035,1724,929;
433,1035,9090,8055;
434,1035,1818,997;
435,1035,20000,18965;
436,1035,1162,589;
437,1035,6666,5631;
438,1035,5263,4228;
439,1035,7142,6107;
440,1035,1639,863;
441,1035,1612,842;
442,1035,6666,5631;
443,1035,1388,695;
444,1035,1010,543;
445,1035,8333,7298;
446,1035,1000,543;
447,1035,11111,10076;
448,1035,1075,539;
449,1035,1098,563;
450,1035,3846,2817;
451,1035,2702,1728;
452,1035,1204,603;
453,1035,1492,763;
454,1035,1052,544;
455,1035,12500,11465;
456,1035,4761,3726;
457,1035,1176,596;
